rgb,depth
ColorImage/cabin_shot1.0050.jpeg,DepthMap/cabin_shot1.0050.npy
ColorImage/cabin_shot1.0051.jpeg,DepthMap/cabin_shot1.0051.npy
ColorImage/cabin_shot1.0052.jpeg,DepthMap/cabin_shot1.0052.npy
ColorImage/cabin_shot1.0053.jpeg,DepthMap/cabin_shot1.0053.npy
ColorImage/cabin_shot1.0054.jpeg,DepthMap/cabin_shot1.0054.npy
ColorImage/cabin_shot1.0055.jpeg,DepthMap/cabin_shot1.0055.npy
ColorImage/cabin_shot1.0056.jpeg,DepthMap/cabin_shot1.0056.npy
ColorImage/cabin_shot1.0057.jpeg,DepthMap/cabin_shot1.0057.npy
ColorImage/cabin_shot1.0058.jpeg,DepthMap/cabin_shot1.0058.npy
ColorImage/cabin_shot1.0059.jpeg,DepthMap/cabin_shot1.0059.npy
ColorImage/cabin_shot1.0060.jpeg,DepthMap/cabin_shot1.0060.npy
ColorImage/cabin_shot1.0061.jpeg,DepthMap/cabin_shot1.0061.npy
ColorImage/cabin_shot1.0062.jpeg,DepthMap/cabin_shot1.0062.npy
ColorImage/cabin_shot1.0063.jpeg,DepthMap/cabin_shot1.0063.npy
ColorImage/cabin_shot1.0064.jpeg,DepthMap/cabin_shot1.0064.npy
ColorImage/cabin_shot1.0065.jpeg,DepthMap/cabin_shot1.0065.npy
ColorImage/cabin_shot1.0066.jpeg,DepthMap/cabin_shot1.0066.npy
ColorImage/cabin_shot1.0067.jpeg,DepthMap/cabin_shot1.0067.npy
ColorImage/cabin_shot1.0068.jpeg,DepthMap/cabin_shot1.0068.npy
ColorImage/cabin_shot1.0069.jpeg,DepthMap/cabin_shot1.0069.npy
ColorImage/cabin_shot1.0070.jpeg,DepthMap/cabin_shot1.0070.npy
ColorImage/cabin_shot1.0071.jpeg,DepthMap/cabin_shot1.0071.npy
ColorImage/cabin_shot1.0072.jpeg,DepthMap/cabin_shot1.0072.npy
ColorImage/cabin_shot1.0073.jpeg,DepthMap/cabin_shot1.0073.npy
ColorImage/cabin_shot1.0074.jpeg,DepthMap/cabin_shot1.0074.npy
ColorImage/cabin_shot1.0075.jpeg,DepthMap/cabin_shot1.0075.npy
ColorImage/cabin_shot1.0076.jpeg,DepthMap/cabin_shot1.0076.npy
ColorImage/cabin_shot1.0077.jpeg,DepthMap/cabin_shot1.0077.npy
ColorImage/cabin_shot1.0078.jpeg,DepthMap/cabin_shot1.0078.npy
ColorImage/cabin_shot1.0079.jpeg,DepthMap/cabin_shot1.0079.npy
ColorImage/cabin_shot1.0080.jpeg,DepthMap/cabin_shot1.0080.npy
ColorImage/cabin_shot1.0081.jpeg,DepthMap/cabin_shot1.0081.npy
ColorImage/cabin_shot1.0082.jpeg,DepthMap/cabin_shot1.0082.npy
ColorImage/cabin_shot1.0083.jpeg,DepthMap/cabin_shot1.0083.npy
ColorImage/cabin_shot1.0084.jpeg,DepthMap/cabin_shot1.0084.npy
ColorImage/cabin_shot1.0085.jpeg,DepthMap/cabin_shot1.0085.npy
ColorImage/cabin_shot1.0086.jpeg,DepthMap/cabin_shot1.0086.npy
ColorImage/cabin_shot1.0087.jpeg,DepthMap/cabin_shot1.0087.npy
ColorImage/cabin_shot1.0088.jpeg,DepthMap/cabin_shot1.0088.npy
ColorImage/cabin_shot1.0089.jpeg,DepthMap/cabin_shot1.0089.npy
ColorImage/cabin_shot1.0090.jpeg,DepthMap/cabin_shot1.0090.npy
ColorImage/cabin_shot1.0091.jpeg,DepthMap/cabin_shot1.0091.npy
ColorImage/cabin_shot1.0092.jpeg,DepthMap/cabin_shot1.0092.npy
ColorImage/cabin_shot1.0093.jpeg,DepthMap/cabin_shot1.0093.npy
ColorImage/cabin_shot1.0094.jpeg,DepthMap/cabin_shot1.0094.npy
ColorImage/cabin_shot1.0095.jpeg,DepthMap/cabin_shot1.0095.npy
ColorImage/cabin_shot1.0096.jpeg,DepthMap/cabin_shot1.0096.npy
ColorImage/cabin_shot1.0097.jpeg,DepthMap/cabin_shot1.0097.npy
ColorImage/cabin_shot1.0098.jpeg,DepthMap/cabin_shot1.0098.npy
ColorImage/cabin_shot1.0099.jpeg,DepthMap/cabin_shot1.0099.npy
ColorImage/cabin_shot1.0100.jpeg,DepthMap/cabin_shot1.0100.npy
ColorImage/cabin_shot1.0101.jpeg,DepthMap/cabin_shot1.0101.npy
ColorImage/cabin_shot1.0102.jpeg,DepthMap/cabin_shot1.0102.npy
ColorImage/cabin_shot1.0103.jpeg,DepthMap/cabin_shot1.0103.npy
ColorImage/cabin_shot1.0104.jpeg,DepthMap/cabin_shot1.0104.npy
ColorImage/cabin_shot1.0105.jpeg,DepthMap/cabin_shot1.0105.npy
ColorImage/cabin_shot1.0106.jpeg,DepthMap/cabin_shot1.0106.npy
ColorImage/cabin_shot1.0107.jpeg,DepthMap/cabin_shot1.0107.npy
ColorImage/cabin_shot1.0108.jpeg,DepthMap/cabin_shot1.0108.npy
ColorImage/cabin_shot1.0109.jpeg,DepthMap/cabin_shot1.0109.npy
ColorImage/cabin_shot1.0110.jpeg,DepthMap/cabin_shot1.0110.npy
ColorImage/cabin_shot1.0111.jpeg,DepthMap/cabin_shot1.0111.npy
ColorImage/cabin_shot1.0112.jpeg,DepthMap/cabin_shot1.0112.npy
ColorImage/cabin_shot1.0113.jpeg,DepthMap/cabin_shot1.0113.npy
ColorImage/cabin_shot1.0114.jpeg,DepthMap/cabin_shot1.0114.npy
ColorImage/cabin_shot1.0115.jpeg,DepthMap/cabin_shot1.0115.npy
ColorImage/cabin_shot1.0116.jpeg,DepthMap/cabin_shot1.0116.npy
ColorImage/cabin_shot1.0117.jpeg,DepthMap/cabin_shot1.0117.npy
ColorImage/cabin_shot1.0118.jpeg,DepthMap/cabin_shot1.0118.npy
ColorImage/cabin_shot1.0119.jpeg,DepthMap/cabin_shot1.0119.npy
ColorImage/cabin_shot1.0120.jpeg,DepthMap/cabin_shot1.0120.npy
ColorImage/cabin_shot1.0121.jpeg,DepthMap/cabin_shot1.0121.npy
ColorImage/cabin_shot1.0122.jpeg,DepthMap/cabin_shot1.0122.npy
ColorImage/cabin_shot1.0123.jpeg,DepthMap/cabin_shot1.0123.npy
ColorImage/cabin_shot1.0124.jpeg,DepthMap/cabin_shot1.0124.npy
ColorImage/cabin_shot1.0125.jpeg,DepthMap/cabin_shot1.0125.npy
ColorImage/cabin_shot1.0126.jpeg,DepthMap/cabin_shot1.0126.npy
ColorImage/cabin_shot1.0127.jpeg,DepthMap/cabin_shot1.0127.npy
