rgb,depth
ColorImage/church_shot1.0050.jpeg,DepthMap/church_shot1.0050.npy
ColorImage/church_shot1.0051.jpeg,DepthMap/church_shot1.0051.npy
ColorImage/church_shot1.0052.jpeg,DepthMap/church_shot1.0052.npy
ColorImage/church_shot1.0053.jpeg,DepthMap/church_shot1.0053.npy
ColorImage/church_shot1.0054.jpeg,DepthMap/church_shot1.0054.npy
ColorImage/church_shot1.0055.jpeg,DepthMap/church_shot1.0055.npy
ColorImage/church_shot1.0056.jpeg,DepthMap/church_shot1.0056.npy
ColorImage/church_shot1.0057.jpeg,DepthMap/church_shot1.0057.npy
ColorImage/church_shot1.0058.jpeg,DepthMap/church_shot1.0058.npy
ColorImage/church_shot1.0059.jpeg,DepthMap/church_shot1.0059.npy
ColorImage/church_shot1.0060.jpeg,DepthMap/church_shot1.0060.npy
ColorImage/church_shot1.0061.jpeg,DepthMap/church_shot1.0061.npy
ColorImage/church_shot1.0062.jpeg,DepthMap/church_shot1.0062.npy
ColorImage/church_shot1.0063.jpeg,DepthMap/church_shot1.0063.npy
ColorImage/church_shot1.0064.jpeg,DepthMap/church_shot1.0064.npy
ColorImage/church_shot1.0065.jpeg,DepthMap/church_shot1.0065.npy
ColorImage/church_shot1.0066.jpeg,DepthMap/church_shot1.0066.npy
ColorImage/church_shot1.0067.jpeg,DepthMap/church_shot1.0067.npy
ColorImage/church_shot1.0068.jpeg,DepthMap/church_shot1.0068.npy
ColorImage/church_shot1.0069.jpeg,DepthMap/church_shot1.0069.npy
ColorImage/church_shot1.0070.jpeg,DepthMap/church_shot1.0070.npy
ColorImage/church_shot1.0071.jpeg,DepthMap/church_shot1.0071.npy
ColorImage/church_shot1.0072.jpeg,DepthMap/church_shot1.0072.npy
ColorImage/church_shot1.0073.jpeg,DepthMap/church_shot1.0073.npy
ColorImage/church_shot1.0074.jpeg,DepthMap/church_shot1.0074.npy
ColorImage/church_shot1.0075.jpeg,DepthMap/church_shot1.0075.npy
ColorImage/church_shot1.0076.jpeg,DepthMap/church_shot1.0076.npy
ColorImage/church_shot1.0077.jpeg,DepthMap/church_shot1.0077.npy
ColorImage/church_shot1.0078.jpeg,DepthMap/church_shot1.0078.npy
ColorImage/church_shot1.0079.jpeg,DepthMap/church_shot1.0079.npy
ColorImage/church_shot1.0080.jpeg,DepthMap/church_shot1.0080.npy
ColorImage/church_shot1.0081.jpeg,DepthMap/church_shot1.0081.npy
ColorImage/church_shot1.0082.jpeg,DepthMap/church_shot1.0082.npy
ColorImage/church_shot1.0083.jpeg,DepthMap/church_shot1.0083.npy
ColorImage/church_shot1.0084.jpeg,DepthMap/church_shot1.0084.npy
ColorImage/church_shot1.0085.jpeg,DepthMap/church_shot1.0085.npy
ColorImage/church_shot1.0086.jpeg,DepthMap/church_shot1.0086.npy
ColorImage/church_shot1.0087.jpeg,DepthMap/church_shot1.0087.npy
ColorImage/church_shot1.0088.jpeg,DepthMap/church_shot1.0088.npy
ColorImage/church_shot1.0089.jpeg,DepthMap/church_shot1.0089.npy
ColorImage/church_shot1.0090.jpeg,DepthMap/church_shot1.0090.npy
ColorImage/church_shot1.0091.jpeg,DepthMap/church_shot1.0091.npy
ColorImage/church_shot1.0092.jpeg,DepthMap/church_shot1.0092.npy
ColorImage/church_shot1.0093.jpeg,DepthMap/church_shot1.0093.npy
