rgb,depth
ColorImage/museum_shot1.0050.jpeg,DepthMap/museum_shot1.0050.npy
ColorImage/museum_shot1.0051.jpeg,DepthMap/museum_shot1.0051.npy
ColorImage/museum_shot1.0052.jpeg,DepthMap/museum_shot1.0052.npy
ColorImage/museum_shot1.0053.jpeg,DepthMap/museum_shot1.0053.npy
ColorImage/museum_shot1.0054.jpeg,DepthMap/museum_shot1.0054.npy
ColorImage/museum_shot1.0055.jpeg,DepthMap/museum_shot1.0055.npy
ColorImage/museum_shot1.0056.jpeg,DepthMap/museum_shot1.0056.npy
ColorImage/museum_shot1.0057.jpeg,DepthMap/museum_shot1.0057.npy
ColorImage/museum_shot1.0058.jpeg,DepthMap/museum_shot1.0058.npy
ColorImage/museum_shot1.0059.jpeg,DepthMap/museum_shot1.0059.npy
ColorImage/museum_shot1.0060.jpeg,DepthMap/museum_shot1.0060.npy
ColorImage/museum_shot1.0061.jpeg,DepthMap/museum_shot1.0061.npy
ColorImage/museum_shot1.0062.jpeg,DepthMap/museum_shot1.0062.npy
ColorImage/museum_shot1.0063.jpeg,DepthMap/museum_shot1.0063.npy
ColorImage/museum_shot1.0064.jpeg,DepthMap/museum_shot1.0064.npy
ColorImage/museum_shot1.0065.jpeg,DepthMap/museum_shot1.0065.npy
ColorImage/museum_shot1.0066.jpeg,DepthMap/museum_shot1.0066.npy
ColorImage/museum_shot1.0067.jpeg,DepthMap/museum_shot1.0067.npy
ColorImage/museum_shot1.0068.jpeg,DepthMap/museum_shot1.0068.npy
ColorImage/museum_shot1.0069.jpeg,DepthMap/museum_shot1.0069.npy
ColorImage/museum_shot1.0070.jpeg,DepthMap/museum_shot1.0070.npy
ColorImage/museum_shot1.0071.jpeg,DepthMap/museum_shot1.0071.npy
ColorImage/museum_shot1.0072.jpeg,DepthMap/museum_shot1.0072.npy
ColorImage/museum_shot1.0073.jpeg,DepthMap/museum_shot1.0073.npy
ColorImage/museum_shot1.0074.jpeg,DepthMap/museum_shot1.0074.npy
ColorImage/museum_shot1.0075.jpeg,DepthMap/museum_shot1.0075.npy
ColorImage/museum_shot1.0076.jpeg,DepthMap/museum_shot1.0076.npy
ColorImage/museum_shot1.0077.jpeg,DepthMap/museum_shot1.0077.npy
ColorImage/museum_shot1.0078.jpeg,DepthMap/museum_shot1.0078.npy
ColorImage/museum_shot1.0079.jpeg,DepthMap/museum_shot1.0079.npy
ColorImage/museum_shot1.0080.jpeg,DepthMap/museum_shot1.0080.npy
ColorImage/museum_shot1.0081.jpeg,DepthMap/museum_shot1.0081.npy
ColorImage/museum_shot1.0082.jpeg,DepthMap/museum_shot1.0082.npy
ColorImage/museum_shot1.0083.jpeg,DepthMap/museum_shot1.0083.npy
ColorImage/museum_shot1.0084.jpeg,DepthMap/museum_shot1.0084.npy
ColorImage/museum_shot1.0085.jpeg,DepthMap/museum_shot1.0085.npy
ColorImage/museum_shot1.0086.jpeg,DepthMap/museum_shot1.0086.npy
ColorImage/museum_shot1.0087.jpeg,DepthMap/museum_shot1.0087.npy
ColorImage/museum_shot1.0088.jpeg,DepthMap/museum_shot1.0088.npy
ColorImage/museum_shot1.0089.jpeg,DepthMap/museum_shot1.0089.npy
ColorImage/museum_shot1.0090.jpeg,DepthMap/museum_shot1.0090.npy
ColorImage/museum_shot1.0091.jpeg,DepthMap/museum_shot1.0091.npy
ColorImage/museum_shot1.0092.jpeg,DepthMap/museum_shot1.0092.npy
ColorImage/museum_shot1.0093.jpeg,DepthMap/museum_shot1.0093.npy
ColorImage/museum_shot1.0094.jpeg,DepthMap/museum_shot1.0094.npy
ColorImage/museum_shot1.0095.jpeg,DepthMap/museum_shot1.0095.npy
ColorImage/museum_shot1.0096.jpeg,DepthMap/museum_shot1.0096.npy
ColorImage/museum_shot1.0097.jpeg,DepthMap/museum_shot1.0097.npy
ColorImage/museum_shot1.0098.jpeg,DepthMap/museum_shot1.0098.npy
ColorImage/museum_shot1.0099.jpeg,DepthMap/museum_shot1.0099.npy
ColorImage/museum_shot1.0100.jpeg,DepthMap/museum_shot1.0100.npy
ColorImage/museum_shot1.0101.jpeg,DepthMap/museum_shot1.0101.npy
ColorImage/museum_shot1.0102.jpeg,DepthMap/museum_shot1.0102.npy
ColorImage/museum_shot1.0103.jpeg,DepthMap/museum_shot1.0103.npy
ColorImage/museum_shot1.0104.jpeg,DepthMap/museum_shot1.0104.npy
ColorImage/museum_shot1.0105.jpeg,DepthMap/museum_shot1.0105.npy
ColorImage/museum_shot1.0106.jpeg,DepthMap/museum_shot1.0106.npy
ColorImage/museum_shot1.0107.jpeg,DepthMap/museum_shot1.0107.npy
