rgb,depth
ColorImage/school_shot1.0050.jpeg,DepthMap/school_shot1.0050.npy
ColorImage/school_shot1.0051.jpeg,DepthMap/school_shot1.0051.npy
ColorImage/school_shot1.0052.jpeg,DepthMap/school_shot1.0052.npy
ColorImage/school_shot1.0053.jpeg,DepthMap/school_shot1.0053.npy
ColorImage/school_shot1.0054.jpeg,DepthMap/school_shot1.0054.npy
ColorImage/school_shot1.0055.jpeg,DepthMap/school_shot1.0055.npy
ColorImage/school_shot1.0056.jpeg,DepthMap/school_shot1.0056.npy
ColorImage/school_shot1.0057.jpeg,DepthMap/school_shot1.0057.npy
ColorImage/school_shot1.0058.jpeg,DepthMap/school_shot1.0058.npy
ColorImage/school_shot1.0059.jpeg,DepthMap/school_shot1.0059.npy
ColorImage/school_shot1.0060.jpeg,DepthMap/school_shot1.0060.npy
ColorImage/school_shot1.0061.jpeg,DepthMap/school_shot1.0061.npy
ColorImage/school_shot1.0062.jpeg,DepthMap/school_shot1.0062.npy
ColorImage/school_shot1.0063.jpeg,DepthMap/school_shot1.0063.npy
ColorImage/school_shot1.0064.jpeg,DepthMap/school_shot1.0064.npy
ColorImage/school_shot1.0065.jpeg,DepthMap/school_shot1.0065.npy
ColorImage/school_shot1.0066.jpeg,DepthMap/school_shot1.0066.npy
ColorImage/school_shot1.0067.jpeg,DepthMap/school_shot1.0067.npy
ColorImage/school_shot1.0068.jpeg,DepthMap/school_shot1.0068.npy
ColorImage/school_shot1.0069.jpeg,DepthMap/school_shot1.0069.npy
ColorImage/school_shot1.0070.jpeg,DepthMap/school_shot1.0070.npy
ColorImage/school_shot1.0071.jpeg,DepthMap/school_shot1.0071.npy
ColorImage/school_shot1.0072.jpeg,DepthMap/school_shot1.0072.npy
ColorImage/school_shot1.0073.jpeg,DepthMap/school_shot1.0073.npy
ColorImage/school_shot1.0074.jpeg,DepthMap/school_shot1.0074.npy
ColorImage/school_shot1.0075.jpeg,DepthMap/school_shot1.0075.npy
ColorImage/school_shot1.0076.jpeg,DepthMap/school_shot1.0076.npy
ColorImage/school_shot1.0077.jpeg,DepthMap/school_shot1.0077.npy
ColorImage/school_shot1.0078.jpeg,DepthMap/school_shot1.0078.npy
ColorImage/school_shot1.0079.jpeg,DepthMap/school_shot1.0079.npy
