rgb,depth
ColorImage/studio_shot1.0050.jpeg,DepthMap/studio_shot1.0050.npy
ColorImage/studio_shot1.0051.jpeg,DepthMap/studio_shot1.0051.npy
ColorImage/studio_shot1.0052.jpeg,DepthMap/studio_shot1.0052.npy
ColorImage/studio_shot1.0053.jpeg,DepthMap/studio_shot1.0053.npy
ColorImage/studio_shot1.0054.jpeg,DepthMap/studio_shot1.0054.npy
ColorImage/studio_shot1.0055.jpeg,DepthMap/studio_shot1.0055.npy
ColorImage/studio_shot1.0056.jpeg,DepthMap/studio_shot1.0056.npy
ColorImage/studio_shot1.0057.jpeg,DepthMap/studio_shot1.0057.npy
ColorImage/studio_shot1.0058.jpeg,DepthMap/studio_shot1.0058.npy
ColorImage/studio_shot1.0059.jpeg,DepthMap/studio_shot1.0059.npy
ColorImage/studio_shot1.0060.jpeg,DepthMap/studio_shot1.0060.npy
ColorImage/studio_shot1.0061.jpeg,DepthMap/studio_shot1.0061.npy
ColorImage/studio_shot1.0062.jpeg,DepthMap/studio_shot1.0062.npy
ColorImage/studio_shot1.0063.jpeg,DepthMap/studio_shot1.0063.npy
ColorImage/studio_shot1.0064.jpeg,DepthMap/studio_shot1.0064.npy
ColorImage/studio_shot1.0065.jpeg,DepthMap/studio_shot1.0065.npy
ColorImage/studio_shot1.0066.jpeg,DepthMap/studio_shot1.0066.npy
ColorImage/studio_shot1.0067.jpeg,DepthMap/studio_shot1.0067.npy
ColorImage/studio_shot1.0068.jpeg,DepthMap/studio_shot1.0068.npy
ColorImage/studio_shot1.0069.jpeg,DepthMap/studio_shot1.0069.npy
ColorImage/studio_shot1.0070.jpeg,DepthMap/studio_shot1.0070.npy
ColorImage/studio_shot1.0071.jpeg,DepthMap/studio_shot1.0071.npy
ColorImage/studio_shot1.0072.jpeg,DepthMap/studio_shot1.0072.npy
ColorImage/studio_shot1.0073.jpeg,DepthMap/studio_shot1.0073.npy
ColorImage/studio_shot1.0074.jpeg,DepthMap/studio_shot1.0074.npy
ColorImage/studio_shot1.0075.jpeg,DepthMap/studio_shot1.0075.npy
ColorImage/studio_shot1.0076.jpeg,DepthMap/studio_shot1.0076.npy
ColorImage/studio_shot1.0077.jpeg,DepthMap/studio_shot1.0077.npy
ColorImage/studio_shot1.0078.jpeg,DepthMap/studio_shot1.0078.npy
ColorImage/studio_shot1.0079.jpeg,DepthMap/studio_shot1.0079.npy
ColorImage/studio_shot1.0080.jpeg,DepthMap/studio_shot1.0080.npy
ColorImage/studio_shot1.0081.jpeg,DepthMap/studio_shot1.0081.npy
ColorImage/studio_shot1.0082.jpeg,DepthMap/studio_shot1.0082.npy
ColorImage/studio_shot1.0083.jpeg,DepthMap/studio_shot1.0083.npy
ColorImage/studio_shot1.0084.jpeg,DepthMap/studio_shot1.0084.npy
ColorImage/studio_shot1.0085.jpeg,DepthMap/studio_shot1.0085.npy
ColorImage/studio_shot1.0086.jpeg,DepthMap/studio_shot1.0086.npy
ColorImage/studio_shot1.0087.jpeg,DepthMap/studio_shot1.0087.npy
ColorImage/studio_shot1.0088.jpeg,DepthMap/studio_shot1.0088.npy
ColorImage/studio_shot1.0089.jpeg,DepthMap/studio_shot1.0089.npy
ColorImage/studio_shot1.0090.jpeg,DepthMap/studio_shot1.0090.npy
ColorImage/studio_shot1.0091.jpeg,DepthMap/studio_shot1.0091.npy
ColorImage/studio_shot1.0092.jpeg,DepthMap/studio_shot1.0092.npy
ColorImage/studio_shot1.0093.jpeg,DepthMap/studio_shot1.0093.npy
ColorImage/studio_shot1.0094.jpeg,DepthMap/studio_shot1.0094.npy
ColorImage/studio_shot1.0095.jpeg,DepthMap/studio_shot1.0095.npy
ColorImage/studio_shot1.0096.jpeg,DepthMap/studio_shot1.0096.npy
ColorImage/studio_shot1.0097.jpeg,DepthMap/studio_shot1.0097.npy
ColorImage/studio_shot1.0098.jpeg,DepthMap/studio_shot1.0098.npy
ColorImage/studio_shot1.0099.jpeg,DepthMap/studio_shot1.0099.npy
ColorImage/studio_shot1.0100.jpeg,DepthMap/studio_shot1.0100.npy
ColorImage/studio_shot1.0101.jpeg,DepthMap/studio_shot1.0101.npy
ColorImage/studio_shot1.0102.jpeg,DepthMap/studio_shot1.0102.npy
ColorImage/studio_shot1.0103.jpeg,DepthMap/studio_shot1.0103.npy
ColorImage/studio_shot1.0104.jpeg,DepthMap/studio_shot1.0104.npy
ColorImage/studio_shot1.0105.jpeg,DepthMap/studio_shot1.0105.npy
ColorImage/studio_shot1.0106.jpeg,DepthMap/studio_shot1.0106.npy
ColorImage/studio_shot1.0107.jpeg,DepthMap/studio_shot1.0107.npy
ColorImage/studio_shot1.0108.jpeg,DepthMap/studio_shot1.0108.npy
ColorImage/studio_shot1.0109.jpeg,DepthMap/studio_shot1.0109.npy
ColorImage/studio_shot1.0110.jpeg,DepthMap/studio_shot1.0110.npy
ColorImage/studio_shot1.0111.jpeg,DepthMap/studio_shot1.0111.npy
ColorImage/studio_shot1.0112.jpeg,DepthMap/studio_shot1.0112.npy
ColorImage/studio_shot1.0113.jpeg,DepthMap/studio_shot1.0113.npy
ColorImage/studio_shot1.0114.jpeg,DepthMap/studio_shot1.0114.npy
ColorImage/studio_shot1.0115.jpeg,DepthMap/studio_shot1.0115.npy
ColorImage/studio_shot1.0116.jpeg,DepthMap/studio_shot1.0116.npy
ColorImage/studio_shot1.0117.jpeg,DepthMap/studio_shot1.0117.npy
ColorImage/studio_shot1.0118.jpeg,DepthMap/studio_shot1.0118.npy
ColorImage/studio_shot1.0119.jpeg,DepthMap/studio_shot1.0119.npy
ColorImage/studio_shot1.0120.jpeg,DepthMap/studio_shot1.0120.npy
ColorImage/studio_shot1.0121.jpeg,DepthMap/studio_shot1.0121.npy
ColorImage/studio_shot1.0122.jpeg,DepthMap/studio_shot1.0122.npy
ColorImage/studio_shot1.0123.jpeg,DepthMap/studio_shot1.0123.npy
ColorImage/studio_shot1.0124.jpeg,DepthMap/studio_shot1.0124.npy
ColorImage/studio_shot1.0125.jpeg,DepthMap/studio_shot1.0125.npy
ColorImage/studio_shot1.0126.jpeg,DepthMap/studio_shot1.0126.npy
ColorImage/studio_shot1.0127.jpeg,DepthMap/studio_shot1.0127.npy
ColorImage/studio_shot1.0128.jpeg,DepthMap/studio_shot1.0128.npy
ColorImage/studio_shot1.0129.jpeg,DepthMap/studio_shot1.0129.npy
ColorImage/studio_shot1.0130.jpeg,DepthMap/studio_shot1.0130.npy
ColorImage/studio_shot1.0131.jpeg,DepthMap/studio_shot1.0131.npy
ColorImage/studio_shot1.0132.jpeg,DepthMap/studio_shot1.0132.npy
ColorImage/studio_shot1.0133.jpeg,DepthMap/studio_shot1.0133.npy
ColorImage/studio_shot1.0134.jpeg,DepthMap/studio_shot1.0134.npy
ColorImage/studio_shot1.0135.jpeg,DepthMap/studio_shot1.0135.npy
ColorImage/studio_shot1.0136.jpeg,DepthMap/studio_shot1.0136.npy
ColorImage/studio_shot1.0137.jpeg,DepthMap/studio_shot1.0137.npy
ColorImage/studio_shot1.0138.jpeg,DepthMap/studio_shot1.0138.npy
ColorImage/studio_shot1.0139.jpeg,DepthMap/studio_shot1.0139.npy
ColorImage/studio_shot1.0140.jpeg,DepthMap/studio_shot1.0140.npy
ColorImage/studio_shot1.0141.jpeg,DepthMap/studio_shot1.0141.npy
ColorImage/studio_shot1.0142.jpeg,DepthMap/studio_shot1.0142.npy
ColorImage/studio_shot1.0143.jpeg,DepthMap/studio_shot1.0143.npy
ColorImage/studio_shot1.0144.jpeg,DepthMap/studio_shot1.0144.npy
ColorImage/studio_shot1.0145.jpeg,DepthMap/studio_shot1.0145.npy
ColorImage/studio_shot1.0146.jpeg,DepthMap/studio_shot1.0146.npy
ColorImage/studio_shot1.0147.jpeg,DepthMap/studio_shot1.0147.npy
ColorImage/studio_shot1.0148.jpeg,DepthMap/studio_shot1.0148.npy
ColorImage/studio_shot1.0149.jpeg,DepthMap/studio_shot1.0149.npy
