rgb,depth
ColorImage/xmas_shot1.0050.jpeg,DepthMap/xmas_shot1.0050.npy
ColorImage/xmas_shot1.0051.jpeg,DepthMap/xmas_shot1.0051.npy
ColorImage/xmas_shot1.0052.jpeg,DepthMap/xmas_shot1.0052.npy
ColorImage/xmas_shot1.0053.jpeg,DepthMap/xmas_shot1.0053.npy
ColorImage/xmas_shot1.0054.jpeg,DepthMap/xmas_shot1.0054.npy
ColorImage/xmas_shot1.0055.jpeg,DepthMap/xmas_shot1.0055.npy
ColorImage/xmas_shot1.0056.jpeg,DepthMap/xmas_shot1.0056.npy
ColorImage/xmas_shot1.0057.jpeg,DepthMap/xmas_shot1.0057.npy
ColorImage/xmas_shot1.0058.jpeg,DepthMap/xmas_shot1.0058.npy
ColorImage/xmas_shot1.0059.jpeg,DepthMap/xmas_shot1.0059.npy
ColorImage/xmas_shot1.0060.jpeg,DepthMap/xmas_shot1.0060.npy
ColorImage/xmas_shot1.0061.jpeg,DepthMap/xmas_shot1.0061.npy
ColorImage/xmas_shot1.0062.jpeg,DepthMap/xmas_shot1.0062.npy
ColorImage/xmas_shot1.0063.jpeg,DepthMap/xmas_shot1.0063.npy
ColorImage/xmas_shot1.0064.jpeg,DepthMap/xmas_shot1.0064.npy
ColorImage/xmas_shot1.0065.jpeg,DepthMap/xmas_shot1.0065.npy
ColorImage/xmas_shot1.0066.jpeg,DepthMap/xmas_shot1.0066.npy
ColorImage/xmas_shot1.0067.jpeg,DepthMap/xmas_shot1.0067.npy
ColorImage/xmas_shot1.0068.jpeg,DepthMap/xmas_shot1.0068.npy
ColorImage/xmas_shot1.0069.jpeg,DepthMap/xmas_shot1.0069.npy
ColorImage/xmas_shot1.0070.jpeg,DepthMap/xmas_shot1.0070.npy
ColorImage/xmas_shot1.0071.jpeg,DepthMap/xmas_shot1.0071.npy
ColorImage/xmas_shot1.0072.jpeg,DepthMap/xmas_shot1.0072.npy
ColorImage/xmas_shot1.0073.jpeg,DepthMap/xmas_shot1.0073.npy
ColorImage/xmas_shot1.0074.jpeg,DepthMap/xmas_shot1.0074.npy
ColorImage/xmas_shot1.0075.jpeg,DepthMap/xmas_shot1.0075.npy
ColorImage/xmas_shot1.0076.jpeg,DepthMap/xmas_shot1.0076.npy
ColorImage/xmas_shot1.0077.jpeg,DepthMap/xmas_shot1.0077.npy
ColorImage/xmas_shot1.0078.jpeg,DepthMap/xmas_shot1.0078.npy
ColorImage/xmas_shot1.0079.jpeg,DepthMap/xmas_shot1.0079.npy
ColorImage/xmas_shot1.0080.jpeg,DepthMap/xmas_shot1.0080.npy
ColorImage/xmas_shot1.0081.jpeg,DepthMap/xmas_shot1.0081.npy
ColorImage/xmas_shot1.0082.jpeg,DepthMap/xmas_shot1.0082.npy
ColorImage/xmas_shot1.0083.jpeg,DepthMap/xmas_shot1.0083.npy
ColorImage/xmas_shot1.0084.jpeg,DepthMap/xmas_shot1.0084.npy
ColorImage/xmas_shot1.0085.jpeg,DepthMap/xmas_shot1.0085.npy
ColorImage/xmas_shot1.0086.jpeg,DepthMap/xmas_shot1.0086.npy
ColorImage/xmas_shot1.0087.jpeg,DepthMap/xmas_shot1.0087.npy
ColorImage/xmas_shot1.0088.jpeg,DepthMap/xmas_shot1.0088.npy
ColorImage/xmas_shot1.0089.jpeg,DepthMap/xmas_shot1.0089.npy
ColorImage/xmas_shot1.0090.jpeg,DepthMap/xmas_shot1.0090.npy
ColorImage/xmas_shot1.0091.jpeg,DepthMap/xmas_shot1.0091.npy
ColorImage/xmas_shot1.0092.jpeg,DepthMap/xmas_shot1.0092.npy
ColorImage/xmas_shot1.0093.jpeg,DepthMap/xmas_shot1.0093.npy
ColorImage/xmas_shot1.0094.jpeg,DepthMap/xmas_shot1.0094.npy
ColorImage/xmas_shot1.0095.jpeg,DepthMap/xmas_shot1.0095.npy
ColorImage/xmas_shot1.0096.jpeg,DepthMap/xmas_shot1.0096.npy
ColorImage/xmas_shot1.0097.jpeg,DepthMap/xmas_shot1.0097.npy
ColorImage/xmas_shot1.0098.jpeg,DepthMap/xmas_shot1.0098.npy
ColorImage/xmas_shot1.0099.jpeg,DepthMap/xmas_shot1.0099.npy
ColorImage/xmas_shot1.0100.jpeg,DepthMap/xmas_shot1.0100.npy
ColorImage/xmas_shot1.0101.jpeg,DepthMap/xmas_shot1.0101.npy
ColorImage/xmas_shot1.0102.jpeg,DepthMap/xmas_shot1.0102.npy
ColorImage/xmas_shot1.0103.jpeg,DepthMap/xmas_shot1.0103.npy
ColorImage/xmas_shot1.0104.jpeg,DepthMap/xmas_shot1.0104.npy
ColorImage/xmas_shot1.0105.jpeg,DepthMap/xmas_shot1.0105.npy
ColorImage/xmas_shot1.0106.jpeg,DepthMap/xmas_shot1.0106.npy
ColorImage/xmas_shot1.0107.jpeg,DepthMap/xmas_shot1.0107.npy
ColorImage/xmas_shot1.0108.jpeg,DepthMap/xmas_shot1.0108.npy
ColorImage/xmas_shot1.0109.jpeg,DepthMap/xmas_shot1.0109.npy
ColorImage/xmas_shot1.0110.jpeg,DepthMap/xmas_shot1.0110.npy
ColorImage/xmas_shot1.0111.jpeg,DepthMap/xmas_shot1.0111.npy
ColorImage/xmas_shot1.0112.jpeg,DepthMap/xmas_shot1.0112.npy
ColorImage/xmas_shot1.0113.jpeg,DepthMap/xmas_shot1.0113.npy
ColorImage/xmas_shot1.0114.jpeg,DepthMap/xmas_shot1.0114.npy
ColorImage/xmas_shot1.0115.jpeg,DepthMap/xmas_shot1.0115.npy
ColorImage/xmas_shot1.0116.jpeg,DepthMap/xmas_shot1.0116.npy
ColorImage/xmas_shot1.0117.jpeg,DepthMap/xmas_shot1.0117.npy
ColorImage/xmas_shot1.0118.jpeg,DepthMap/xmas_shot1.0118.npy
ColorImage/xmas_shot1.0119.jpeg,DepthMap/xmas_shot1.0119.npy
ColorImage/xmas_shot1.0120.jpeg,DepthMap/xmas_shot1.0120.npy
ColorImage/xmas_shot1.0121.jpeg,DepthMap/xmas_shot1.0121.npy
ColorImage/xmas_shot1.0122.jpeg,DepthMap/xmas_shot1.0122.npy
ColorImage/xmas_shot1.0123.jpeg,DepthMap/xmas_shot1.0123.npy
ColorImage/xmas_shot1.0124.jpeg,DepthMap/xmas_shot1.0124.npy
ColorImage/xmas_shot1.0125.jpeg,DepthMap/xmas_shot1.0125.npy
ColorImage/xmas_shot1.0126.jpeg,DepthMap/xmas_shot1.0126.npy
ColorImage/xmas_shot1.0127.jpeg,DepthMap/xmas_shot1.0127.npy
ColorImage/xmas_shot1.0128.jpeg,DepthMap/xmas_shot1.0128.npy
ColorImage/xmas_shot1.0129.jpeg,DepthMap/xmas_shot1.0129.npy
ColorImage/xmas_shot1.0130.jpeg,DepthMap/xmas_shot1.0130.npy
ColorImage/xmas_shot1.0131.jpeg,DepthMap/xmas_shot1.0131.npy
ColorImage/xmas_shot1.0132.jpeg,DepthMap/xmas_shot1.0132.npy
ColorImage/xmas_shot1.0133.jpeg,DepthMap/xmas_shot1.0133.npy
ColorImage/xmas_shot1.0134.jpeg,DepthMap/xmas_shot1.0134.npy
ColorImage/xmas_shot1.0135.jpeg,DepthMap/xmas_shot1.0135.npy
ColorImage/xmas_shot1.0136.jpeg,DepthMap/xmas_shot1.0136.npy
ColorImage/xmas_shot1.0137.jpeg,DepthMap/xmas_shot1.0137.npy
ColorImage/xmas_shot1.0138.jpeg,DepthMap/xmas_shot1.0138.npy
ColorImage/xmas_shot1.0139.jpeg,DepthMap/xmas_shot1.0139.npy
ColorImage/xmas_shot1.0140.jpeg,DepthMap/xmas_shot1.0140.npy
ColorImage/xmas_shot1.0141.jpeg,DepthMap/xmas_shot1.0141.npy
ColorImage/xmas_shot1.0142.jpeg,DepthMap/xmas_shot1.0142.npy
ColorImage/xmas_shot1.0143.jpeg,DepthMap/xmas_shot1.0143.npy
ColorImage/xmas_shot1.0144.jpeg,DepthMap/xmas_shot1.0144.npy
ColorImage/xmas_shot1.0145.jpeg,DepthMap/xmas_shot1.0145.npy
ColorImage/xmas_shot1.0146.jpeg,DepthMap/xmas_shot1.0146.npy
ColorImage/xmas_shot1.0147.jpeg,DepthMap/xmas_shot1.0147.npy
ColorImage/xmas_shot1.0148.jpeg,DepthMap/xmas_shot1.0148.npy
ColorImage/xmas_shot1.0149.jpeg,DepthMap/xmas_shot1.0149.npy
