rgb,depth
ColorImage/res_shot1.0050.jpeg,DepthMap/res_shot1.0050.npy
ColorImage/res_shot1.0051.jpeg,DepthMap/res_shot1.0051.npy
ColorImage/res_shot1.0052.jpeg,DepthMap/res_shot1.0052.npy
ColorImage/res_shot1.0053.jpeg,DepthMap/res_shot1.0053.npy
ColorImage/res_shot1.0054.jpeg,DepthMap/res_shot1.0054.npy
ColorImage/res_shot1.0055.jpeg,DepthMap/res_shot1.0055.npy
ColorImage/res_shot1.0056.jpeg,DepthMap/res_shot1.0056.npy
ColorImage/res_shot1.0057.jpeg,DepthMap/res_shot1.0057.npy
ColorImage/res_shot1.0058.jpeg,DepthMap/res_shot1.0058.npy
ColorImage/res_shot1.0059.jpeg,DepthMap/res_shot1.0059.npy
ColorImage/res_shot1.0060.jpeg,DepthMap/res_shot1.0060.npy
ColorImage/res_shot1.0061.jpeg,DepthMap/res_shot1.0061.npy
ColorImage/res_shot1.0062.jpeg,DepthMap/res_shot1.0062.npy
ColorImage/res_shot1.0063.jpeg,DepthMap/res_shot1.0063.npy
ColorImage/res_shot1.0064.jpeg,DepthMap/res_shot1.0064.npy
ColorImage/res_shot1.0065.jpeg,DepthMap/res_shot1.0065.npy
ColorImage/res_shot1.0066.jpeg,DepthMap/res_shot1.0066.npy
ColorImage/res_shot1.0067.jpeg,DepthMap/res_shot1.0067.npy
ColorImage/res_shot1.0068.jpeg,DepthMap/res_shot1.0068.npy
ColorImage/res_shot1.0069.jpeg,DepthMap/res_shot1.0069.npy
ColorImage/res_shot1.0070.jpeg,DepthMap/res_shot1.0070.npy
ColorImage/res_shot1.0071.jpeg,DepthMap/res_shot1.0071.npy
ColorImage/res_shot1.0072.jpeg,DepthMap/res_shot1.0072.npy
ColorImage/res_shot1.0073.jpeg,DepthMap/res_shot1.0073.npy
ColorImage/res_shot1.0074.jpeg,DepthMap/res_shot1.0074.npy
ColorImage/res_shot1.0075.jpeg,DepthMap/res_shot1.0075.npy
ColorImage/res_shot1.0076.jpeg,DepthMap/res_shot1.0076.npy
ColorImage/res_shot1.0077.jpeg,DepthMap/res_shot1.0077.npy
ColorImage/res_shot1.0078.jpeg,DepthMap/res_shot1.0078.npy
ColorImage/res_shot1.0079.jpeg,DepthMap/res_shot1.0079.npy
ColorImage/res_shot1.0080.jpeg,DepthMap/res_shot1.0080.npy
ColorImage/res_shot1.0081.jpeg,DepthMap/res_shot1.0081.npy
ColorImage/res_shot1.0082.jpeg,DepthMap/res_shot1.0082.npy
ColorImage/res_shot1.0083.jpeg,DepthMap/res_shot1.0083.npy
ColorImage/res_shot1.0084.jpeg,DepthMap/res_shot1.0084.npy
ColorImage/res_shot1.0085.jpeg,DepthMap/res_shot1.0085.npy
