rgb,depth
rgbs/rgb_01344.jpg,depths_masked/depth_01344.png
rgbs/rgb_01345.jpg,depths_masked/depth_01345.png
rgbs/rgb_01346.jpg,depths_masked/depth_01346.png
rgbs/rgb_01347.jpg,depths_masked/depth_01347.png
rgbs/rgb_01348.jpg,depths_masked/depth_01348.png
rgbs/rgb_01349.jpg,depths_masked/depth_01349.png
rgbs/rgb_01350.jpg,depths_masked/depth_01350.png
rgbs/rgb_01351.jpg,depths_masked/depth_01351.png
rgbs/rgb_01352.jpg,depths_masked/depth_01352.png
rgbs/rgb_01353.jpg,depths_masked/depth_01353.png
rgbs/rgb_01354.jpg,depths_masked/depth_01354.png
rgbs/rgb_01355.jpg,depths_masked/depth_01355.png
rgbs/rgb_01356.jpg,depths_masked/depth_01356.png
rgbs/rgb_01357.jpg,depths_masked/depth_01357.png
rgbs/rgb_01358.jpg,depths_masked/depth_01358.png
rgbs/rgb_01359.jpg,depths_masked/depth_01359.png
rgbs/rgb_01360.jpg,depths_masked/depth_01360.png
rgbs/rgb_01361.jpg,depths_masked/depth_01361.png
rgbs/rgb_01362.jpg,depths_masked/depth_01362.png
rgbs/rgb_01363.jpg,depths_masked/depth_01363.png
rgbs/rgb_01364.jpg,depths_masked/depth_01364.png
rgbs/rgb_01365.jpg,depths_masked/depth_01365.png
rgbs/rgb_01366.jpg,depths_masked/depth_01366.png
rgbs/rgb_01367.jpg,depths_masked/depth_01367.png
rgbs/rgb_01368.jpg,depths_masked/depth_01368.png
rgbs/rgb_01369.jpg,depths_masked/depth_01369.png
rgbs/rgb_01370.jpg,depths_masked/depth_01370.png
rgbs/rgb_01371.jpg,depths_masked/depth_01371.png
rgbs/rgb_01372.jpg,depths_masked/depth_01372.png
rgbs/rgb_01373.jpg,depths_masked/depth_01373.png
rgbs/rgb_01374.jpg,depths_masked/depth_01374.png
rgbs/rgb_01375.jpg,depths_masked/depth_01375.png
rgbs/rgb_01376.jpg,depths_masked/depth_01376.png
rgbs/rgb_01377.jpg,depths_masked/depth_01377.png
rgbs/rgb_01378.jpg,depths_masked/depth_01378.png
rgbs/rgb_01379.jpg,depths_masked/depth_01379.png
rgbs/rgb_01380.jpg,depths_masked/depth_01380.png
rgbs/rgb_01381.jpg,depths_masked/depth_01381.png
rgbs/rgb_01382.jpg,depths_masked/depth_01382.png
rgbs/rgb_01383.jpg,depths_masked/depth_01383.png
rgbs/rgb_01384.jpg,depths_masked/depth_01384.png
rgbs/rgb_01385.jpg,depths_masked/depth_01385.png
rgbs/rgb_01386.jpg,depths_masked/depth_01386.png
rgbs/rgb_01387.jpg,depths_masked/depth_01387.png
rgbs/rgb_01388.jpg,depths_masked/depth_01388.png
rgbs/rgb_01389.jpg,depths_masked/depth_01389.png
rgbs/rgb_01390.jpg,depths_masked/depth_01390.png
