rgb,depth
rgbs/rgb_01248.jpg,depths_masked/depth_01248.png
rgbs/rgb_01249.jpg,depths_masked/depth_01249.png
rgbs/rgb_01250.jpg,depths_masked/depth_01250.png
rgbs/rgb_01251.jpg,depths_masked/depth_01251.png
rgbs/rgb_01252.jpg,depths_masked/depth_01252.png
rgbs/rgb_01253.jpg,depths_masked/depth_01253.png
rgbs/rgb_01254.jpg,depths_masked/depth_01254.png
rgbs/rgb_01255.jpg,depths_masked/depth_01255.png
rgbs/rgb_01256.jpg,depths_masked/depth_01256.png
rgbs/rgb_01257.jpg,depths_masked/depth_01257.png
rgbs/rgb_01258.jpg,depths_masked/depth_01258.png
rgbs/rgb_01259.jpg,depths_masked/depth_01259.png
rgbs/rgb_01260.jpg,depths_masked/depth_01260.png
rgbs/rgb_01261.jpg,depths_masked/depth_01261.png
rgbs/rgb_01262.jpg,depths_masked/depth_01262.png
rgbs/rgb_01263.jpg,depths_masked/depth_01263.png
rgbs/rgb_01264.jpg,depths_masked/depth_01264.png
rgbs/rgb_01265.jpg,depths_masked/depth_01265.png
rgbs/rgb_01266.jpg,depths_masked/depth_01266.png
rgbs/rgb_01267.jpg,depths_masked/depth_01267.png
rgbs/rgb_01268.jpg,depths_masked/depth_01268.png
rgbs/rgb_01269.jpg,depths_masked/depth_01269.png
rgbs/rgb_01270.jpg,depths_masked/depth_01270.png
rgbs/rgb_01271.jpg,depths_masked/depth_01271.png
rgbs/rgb_01272.jpg,depths_masked/depth_01272.png
rgbs/rgb_01273.jpg,depths_masked/depth_01273.png
rgbs/rgb_01274.jpg,depths_masked/depth_01274.png
rgbs/rgb_01275.jpg,depths_masked/depth_01275.png
rgbs/rgb_01276.jpg,depths_masked/depth_01276.png
rgbs/rgb_01277.jpg,depths_masked/depth_01277.png
rgbs/rgb_01278.jpg,depths_masked/depth_01278.png
rgbs/rgb_01279.jpg,depths_masked/depth_01279.png
rgbs/rgb_01280.jpg,depths_masked/depth_01280.png
rgbs/rgb_01281.jpg,depths_masked/depth_01281.png
rgbs/rgb_01282.jpg,depths_masked/depth_01282.png
rgbs/rgb_01283.jpg,depths_masked/depth_01283.png
rgbs/rgb_01284.jpg,depths_masked/depth_01284.png
rgbs/rgb_01285.jpg,depths_masked/depth_01285.png
rgbs/rgb_01286.jpg,depths_masked/depth_01286.png
rgbs/rgb_01287.jpg,depths_masked/depth_01287.png
rgbs/rgb_01288.jpg,depths_masked/depth_01288.png
rgbs/rgb_01289.jpg,depths_masked/depth_01289.png
rgbs/rgb_01290.jpg,depths_masked/depth_01290.png
rgbs/rgb_01291.jpg,depths_masked/depth_01291.png
rgbs/rgb_01292.jpg,depths_masked/depth_01292.png
rgbs/rgb_01293.jpg,depths_masked/depth_01293.png
rgbs/rgb_01294.jpg,depths_masked/depth_01294.png
rgbs/rgb_01295.jpg,depths_masked/depth_01295.png
rgbs/rgb_01296.jpg,depths_masked/depth_01296.png
rgbs/rgb_01297.jpg,depths_masked/depth_01297.png
rgbs/rgb_01298.jpg,depths_masked/depth_01298.png
rgbs/rgb_01299.jpg,depths_masked/depth_01299.png
rgbs/rgb_01300.jpg,depths_masked/depth_01300.png
rgbs/rgb_01301.jpg,depths_masked/depth_01301.png
rgbs/rgb_01302.jpg,depths_masked/depth_01302.png
rgbs/rgb_01303.jpg,depths_masked/depth_01303.png
rgbs/rgb_01304.jpg,depths_masked/depth_01304.png
rgbs/rgb_01305.jpg,depths_masked/depth_01305.png
rgbs/rgb_01306.jpg,depths_masked/depth_01306.png
