rgb,depth
rgbs/rgb_00960.jpg,depths_masked/depth_00960.png
rgbs/rgb_00961.jpg,depths_masked/depth_00961.png
rgbs/rgb_00962.jpg,depths_masked/depth_00962.png
rgbs/rgb_00963.jpg,depths_masked/depth_00963.png
rgbs/rgb_00964.jpg,depths_masked/depth_00964.png
rgbs/rgb_00965.jpg,depths_masked/depth_00965.png
rgbs/rgb_00966.jpg,depths_masked/depth_00966.png
rgbs/rgb_00967.jpg,depths_masked/depth_00967.png
rgbs/rgb_00968.jpg,depths_masked/depth_00968.png
rgbs/rgb_00969.jpg,depths_masked/depth_00969.png
rgbs/rgb_00970.jpg,depths_masked/depth_00970.png
rgbs/rgb_00971.jpg,depths_masked/depth_00971.png
rgbs/rgb_00972.jpg,depths_masked/depth_00972.png
rgbs/rgb_00973.jpg,depths_masked/depth_00973.png
rgbs/rgb_00974.jpg,depths_masked/depth_00974.png
rgbs/rgb_00975.jpg,depths_masked/depth_00975.png
rgbs/rgb_00976.jpg,depths_masked/depth_00976.png
rgbs/rgb_00977.jpg,depths_masked/depth_00977.png
rgbs/rgb_00978.jpg,depths_masked/depth_00978.png
rgbs/rgb_00979.jpg,depths_masked/depth_00979.png
rgbs/rgb_00980.jpg,depths_masked/depth_00980.png
rgbs/rgb_00981.jpg,depths_masked/depth_00981.png
rgbs/rgb_00982.jpg,depths_masked/depth_00982.png
rgbs/rgb_00983.jpg,depths_masked/depth_00983.png
rgbs/rgb_00984.jpg,depths_masked/depth_00984.png
rgbs/rgb_00985.jpg,depths_masked/depth_00985.png
rgbs/rgb_00986.jpg,depths_masked/depth_00986.png
rgbs/rgb_00987.jpg,depths_masked/depth_00987.png
rgbs/rgb_00988.jpg,depths_masked/depth_00988.png
rgbs/rgb_00989.jpg,depths_masked/depth_00989.png
rgbs/rgb_00990.jpg,depths_masked/depth_00990.png
rgbs/rgb_00991.jpg,depths_masked/depth_00991.png
rgbs/rgb_00992.jpg,depths_masked/depth_00992.png
rgbs/rgb_00993.jpg,depths_masked/depth_00993.png
rgbs/rgb_00994.jpg,depths_masked/depth_00994.png
rgbs/rgb_00995.jpg,depths_masked/depth_00995.png
rgbs/rgb_00996.jpg,depths_masked/depth_00996.png
rgbs/rgb_00997.jpg,depths_masked/depth_00997.png
rgbs/rgb_00998.jpg,depths_masked/depth_00998.png
rgbs/rgb_00999.jpg,depths_masked/depth_00999.png
rgbs/rgb_01000.jpg,depths_masked/depth_01000.png
rgbs/rgb_01001.jpg,depths_masked/depth_01001.png
rgbs/rgb_01002.jpg,depths_masked/depth_01002.png
rgbs/rgb_01003.jpg,depths_masked/depth_01003.png
rgbs/rgb_01004.jpg,depths_masked/depth_01004.png
rgbs/rgb_01005.jpg,depths_masked/depth_01005.png
rgbs/rgb_01006.jpg,depths_masked/depth_01006.png
rgbs/rgb_01007.jpg,depths_masked/depth_01007.png
rgbs/rgb_01008.jpg,depths_masked/depth_01008.png
rgbs/rgb_01009.jpg,depths_masked/depth_01009.png
rgbs/rgb_01010.jpg,depths_masked/depth_01010.png
